Reasoning and logic are to each other as health is to medicine, or &#; better &#; as conduct is to morality. Reasoning refers to a gamut of natural thought processes in the everyday world. Logic is how we ought to think if objective truth is our goal &#; and the everyday world is very little concerned with objective truth... The very reason we need logic at all is because most reasoning is not conscious at all.	Julian Jaynes	
Experience is not what happens to a man; it is what a man does with what happens to him. It is a gift for dealing with the accidents of existence, not the accidents themselves.	Aldous Huxley	
the need to get things done often leaves us no leisure for careful inquiry, so we must confess that the life of a man is often obnoxiously in error about particular matters; we must acknowledge our infirmity.	René Descartes	
Once Da'an asked Master Baizhang, &quot;This student yearns to understand enlightenment. What is it?&quot;The Master said, &#;You are like someone searching for an ox while riding that ox.&#;	after Baizhang Huaihai	
True and False are attributes of speech, not of things. And where speech is not, there is neither Truth nor Falsehood.	Thomas Hobbes	
Never get so attached to a poem you forget truth that lacks lyricism.	Joanna Newsom	
I beseech you, in the bowels of Christ, think it possible you may be mistaken	Oliver Cromwell	
Time burns, but leaves no ashes.	Elsa Triolet	
However unwillingly a person  who has a strong opinion may admit the possibility that his opinion may be false, he ought to be moved by the consideration that however true it may be, if it is not fully, frequently, and fearlessly discussed, it will be held as a dead dogma, not a living truth.  Where [dogmatists'] influence prevails, they make it nearly impossible for the received opinion to be rejected wisely and considerately, though it may still be rejected rashly and ignorantly; for to shut out discussion entirely is seldom possible, and when it once gets in, beliefs not grounded on conviction are apt to give way before the slightest semblance of an argument.  This is not knowing the truth. Truth, thus held, is but one superstition the more, accidentally clinging to the words which enunciate a truth.	JS Mill	
A theory is a machine for answering a class of questions. 	Judea Pearl	
If the cultivation of the understanding consists in one thing more than in another, it is surely in learning the grounds of one's own opinions. Whatever people believe, on subjects on which it is of the first importance to believe rightly, they ought to be able to defend against at least the common objections.	JS Mill	
All silencing of discussion is an assumption of infallibility. Its condemnation may be allowed to rest on this common argument, not the worse for being common.	Mill	
When will we realise that the fact that we can become accustomed to anything... makes it necessary to examine everything we are accustomed to?	GB Shaw	
We feel an affinity with a certain thinker because we agree with him; or because he shows us what we were already thinking; or because he shows us in a more articulate form what we were already thinking; or because he shows us what we were on the point of thinking; or what we would sooner or later have thought; or what we would have thought much later if we hadn&#;t read it now; or what we would have been likely to think but never would have thought if we hadn&#;t read it now; or what we would have liked to think but never would have thought if we hadn&#;t read it now.	Lydia Davis	
The effort to understand the world is one of the few things that lifts human life a little above the level of farce and gives it some of the grace of tragedy.	Steven Weinberg	
Reading, after a certain age, diverts the mind from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking. 	Einstein	
Beware the man of one book. 	Thomas Aquinas	
I worry about it in the same way I worry about the philosophical Problem Of Skepticism. I don’t think I’m a brain in a vat. But I’m vaguely annoyed by knowing that an actual brain in a vat would think exactly the same thing for the same reason. 	Scott Alexander	
... if we laugh with derision, we will never understand. Human intellectual capacity has not altered for thousands of years. If intelligent people invested intense energy in issues that now seem foolish to us, then the failure lies in our understanding of their world, not in their distorted perceptions. Even the standard example of ancient nonsense - the debate about angels on pinheads - makes sense once you realize that theologians were not discussing whether five or eighteen would fit, but whether a pin could house a finite or an infinite number. 	Stephen Jay Gould	
Here's a way to tell scientific intelligence from legal intelligence. Both may start from the idea that something cannot be done and think up arguments to explain why. However, the scientist may discover a flaw in the argument that leads him change his mind and to discover a way to do it... The legal thinker will merely try to patch the flaw in the argument, because, once he has chosen a side, all his intelligence is devoted to finding arguments for that side.	John McCarthy	
The essence of Christianity is told to us in the Garden of Eden history. The fruit that was forbidden was on the Tree of Knowledge. The subtext is, &quot;All the suffering you have is because you wanted to find out what was going on. You could be in the Garden of Eden if you had just kept your fucking mouth shut and hadn't asked any questions.&quot;	Frank Zappa	
A good stack of examples, as large as possible, is indispensable for a thorough understanding of any concept, and when I want to learn something new, I make it my first job to build one. 	Paul Halmos	
No idea is above scrutiny; no people are beneath dignity. 	Maajid Nawaz	
You must hasten - not only because you are daily nearer to death, but also because your intellect, which enables you to know the true nature of things and to order all your actions by that knowledge decays too, and may cease first.	Marcus	
Somebody has to do something, and it's just incredibly pathetic that it has to be us.	Jerry Garcia	
Every day I recall that my outer and inner life rests on the labours of others, the living and the dead; so I must strive, to give back, in the same measure, what I received and still receive. 	Einstein	
When some portion of the biosphere is rather unpopular with the human race - a crocodile, a dandelion, a stony valley, a snowstorm, an odd-shaped flint - there are three sorts of human being who are particularly likely still to see point in it and to befriend it. They are poets, scientists and children. Inside each of us, representatives of these three groups can be found.	Mary Midgley	
Schneier's mantra for an intervention I*:<br>What is I* trying to change? How much will doing I* help (= B)? What new problems will I* induce (= P)? What does I cost (= C)?If (C + P) &gt; B, don't intervene. 		
MacAskill's rubric for an altruist act A:<br>How many people does A affect, and by how much? (Magnitude)<br>Is A the best thing to do? (Relative magnitude / opportunity cost)<br>What's the difference my doing A makes? (Effect minus effect in the counterfactual)<br>What's the difference one more A makes, on the margin? (Marginal benefit)<br>How sure is A to help? What harms could A cause? (Risk)<br>		
...Compassion for the cancer patient, for the bereaved parent, for the victim of famine.  Compassion for the undocumented immigrant facing deportation.  Compassion for the LGBT man or woman dealing with self-doubts, ridicule, and abuse.  Compassion for the nerdy male facing suicidal depression because modern dating norms, combined with his own shyness and fear of rule-breaking, have left him unable to pursue romance or love.  Compassion for the woman who feels like an ugly, overweight, unlovable freak who no one will ask on dates.  Compassion for the African-American victim of police brutality.  Compassion even for the pedophile who’d sooner kill himself than hurt a child, but who’s been given no support for curing or managing his condition.  This is what I advocate.  This is my platform.	Scott Aaronson	
The French have already discovered that the blackness of the skin is no reason why a human being should be abandoned without redress to the caprice of a tormentor. It may one day come to be recognized that the number of legs, the villosity of the skin... are reasons equally insufficient for abandoning a sensitive being to the same fate. What else is it that should trace the insuperable line? Is it the faculty of reason, or perhaps the faculty of discourse? But a full-grown horse or dog is beyond comparison a more rational, as well as a more conversable animal, than an infant of a day or a week or even a month, old. But suppose they were otherwise, what would it avail? The question is not &quot;Can they reason?&quot; nor &quot;Can they talk?&quot; but &quot;Can they suffer?&quot;	Jeremy Bentham	
The boys throw stones at the frogs in jest. But the frogs die in earnest. 	Joanna Russ	
Human affairs are not serious, but they have to be taken seriously. 	Iris Murdoch	
In a sense people are our proper occupation. Our job is to put up with them and do them good.	Marcus Aurelius	
May heaven exist, even if my place is hell. 	Jorge Luis Borges	
Be nice, be provocable, be forgiving, and be clear. 	Robert Axelrod	
'Do you believe it’s more important that poor people have basic necessities of life than that you have lots of luxury goods?&quot; <br><br>'Yeah &quot; <br><br>'And do you believe that the money you’re currently spending on luxury goods right now could instead be spent on charity that would help poor people get life necessities?&quot; <br><br>'Yeah.&quot; <br><br>'Then shouldn’t you stop buying luxury goods and instead give all your extra money beyond what you need to live to charity?&quot; <br><br>'Hey, what? Nobody does that! That would be a lot of work and make me look really weird!&quot; 	Scott Alexander	
It is vain to do with more what can be done with less. 	William of Ockham	
'Man is weak - he must receive a task which accords to his strength,&quot; people say. This amounts to:&quot;My hands are weak; I cannot draw a straight line, and therefore, in order to make it easier for myself, though I wish to draw a straight line, I will take a curved or a broken line as my guide.&quot; The weaker my hand is, the more perfect must my guide be.	Lev Tolstoy	
For evil to triumph, all that is required is for good men to respond rationally to incentives.	Misha Gurevich	
The better is the enemy of the good.	Voltaire	
If only there were evil people somewhere, insidiously committing evil deeds, and it were necessary only to separate them from the rest of us and destroy them. But the line dividing good and evil cuts through the heart of every human being. And who is willing to destroy a piece of his own heart?	Alexander Solzhenitsyn	
For the sake of one word a man is judged wise or foolish. Take care in choosing your words. 	Confucius	
Boredom is a vital problem for the moralist, since at least half the sins of mankind are caused by the fear of it.	Bertrand Russell	
Justice does not exist in itself; instead, it is always a compact to not harm or be harmed, which is agreed upon by those who gather together at some time and place.	Epicurus	
Bad is worse than good is good.	Titus Livius	
Nothing that grieves us can be called little.	Mark Twain	
Never ascribe to malice that which can be explained by stupidity. Never ascribe to stupidity that which can be explained by laziness. Never ascribe to laziness that which can be explained by people knowing their own lives better than you do.	Robert Heinlein &amp; Buck Shlegeris	
We can make a ladder out of our vices by trampling them underfoot. 	attrbd Augustine	
Be kind. Everyone you meet is fighting a hard battle.	Rev John Watson	
Solas nobilitas virtus. (Virtue is the only nobility.)	various	
All punishment is mischief: all punishment in itself is evil.	Jeremy Bentham	
Egotist (n.): A person of low taste, more interested in himself than in me. 	Ambrose Bierce	
Justice is when you get what you deserve; mercy is when you don't get what you deserve; grace is when you get what you don't deserve. 	Proverbial	
Freedom in an unfree world is merely licence to exploit. (Total liberty for the wolves is death for the lambs.)	Germaine Greer (Isaiah Berlin)	
It is not enough to succeed. Others must fail.	Gore Vidal	
Do I not destroy my enemies when I make them my friends?	attbd. Lincoln	
If we could read the secret history of our enemies, we should find in each man's life sorrow and suffering enough to disarm all hostility.	Henry Longfellow	
Enliven morality with wit, but temper wit with morality.	Joseph Addison	
The wiser course might often be to do nothing, but it will seldom be without moral cost.	Clive James	
I am as desirous of being a good neighbour as I am of being a bad subject.	Henry David Thoreau	
At least I'm fucking trying. 	Ian MacKaye	
Tip: It's illegal and immoral to slay your enemies, but if you eat nutritious food and outlive them, you can still dance on their graves. There's nothing illegal or immoral about dancing.	Scott Adams	
Conscience is the inner voice which warns us that someone may be looking.	HL Mencken	
Concern for people and their fate must always form the chief interest of all technical endeavors. Never forget this in the midst of your diagrams and equations.	Albert Einstein	
One half of the world cannot understand the pleasures of the other.	Jane Austen	
[He] encourages newer staff to think of people they&#;d like to bludgeon to death as valuable teachers of patience, tolerance, self-discipline, restraint/	David Foster Wallace	
It is the good fortune of many to live distant from the scene of present sorrow; the evil is not sufficiently brought to their doors to make them feel the precariousness with which all [property] is possessed.	Thomas Paine	
A note don't care who plays it. (Nil ad hominem.)	Clark Terry	
as long as you have rigorously analysed the purpose of saying something, there is nothing that cannot be said.	after Chris Morris	
Laughter corrects customs.  	Jean&#;Baptiste de Santeul	
We must laugh at our anger and still be angry.	Carl Hancock Rux	
Evil comes from&nbsp;excess of&nbsp;virtue.	after Mary Midgley	
I tried to live for God. 	Hernán Cortés de Monroy	
Reality's a kind of medium, maybe greater than paper.	_why the lucky stiff	
the universe [is] the ultimate free lunch.	Alan Guth	Existence
Heaven and Earth are not benevolent;they treat everything like straw dogs.	Laozi	Existence
There is in men and women a motivation stronger even than love or hatred or fear. It is that of being interested — in a body of knowledge, in a problem, in a hobby, in tomorrow’s newspaper.	George Steiner, after Nietzsche	Existence
If &quot;nothing matters &quot; then that doesn't matter either.	Thomas Nagel	Existence
When cruel birth debases, we forget; when cruel death debases, we believe it erases all the rest that precedes. But the moment of your greatest joy sustains: not axe nor hammer - tumor, tremor - can take it away. It remains.	Joanna Newsom	Existence
You say you couldn't live, if you thought the world had no purpose. You're saying you can't form purposes of your own - that you need someone to tell you what to do. The average child has more gumption than that.	John McCarthy	Existence
Willy Wonka: “But Charlie, don’t forget what happened to the man who suddenly got everything he ever wanted.”<br>   Charlie: “What’s that?”<br><br>Willy Wonka: “He lived happily ever after.” 	Roald Dahl	Existence
There are depths of seriousness which only someone with a sense of humour can reach. 	after Clive James	Existence
We live during the hinge of history. Given the scientific and technological discoveries of the last two centuries, the world has never changed as fast. We shall soon have even greater powers to transform, not only our surroundings, but ourselves and our successors. If we act wisely in the next few centuries, humanity will survive its most dangerous and decisive period. Our descendants could, if necessary, go elsewhere, spreading through this galaxy... there has never been such a new dawn and clear horizon, and such an open sea.	Derek Parfit	Existence
As striking as are the varieties of religious experience, they pale beside the variety of material things that can possibly exist... Using electrons, protons, and neutrons, it is possible to build: a waterfall; a superconductor; a living cell; a Bose-Einstein condensate; a conscious mind; a black hole; a tree; an iPhone; a Jupiter Brain; a working economy; a von Neumann replicator; an artificial general intelligence; a Drexlerian universal constructor; and much, much else.	Michael Nielsen	Existence
I am a pessimist of the intellect, but an optimist of the will.	Antonio Gramsci	Existence
The best way to complain is to make things.	attrbd. James Murphy	Existence
Riding a donkey, seeking a horse.	Proverb	Existence
Wisdom: to the crowd this seems to be a sort of escape, a means of pulling out of a bad game; but the true philosopher lives &quot;unphilosophically &quot; and &quot;unwisely &quot; and feels the burden and duty of the hundred trials and temptations of life - he constantly rises; he plays this bad game.	Nietzsche	Existence
the woods would be very silent if no birds sang there except those that sang best.	William Blake	Existence
Your head's like mine, like all our heads; big enough to contain every god and devil ever. Big enough to hold the weight of oceans and the turning stars. Whole universes fit in there! But what do we choose to keep in this miraculous cabinet? Little broken things, sad trinkets that we play with over and over. The world turns our key and we play the same little tune again and again...	Grant Morrison	Existence
There is scarcely an occurrence in nature which... is not looked upon by some persons as a prognosticator either of good or evil. The latter are in the greatest number, so much more ingenious are we in tormenting ourselves than in discovering reasons for enjoyment in the things that surround us.	Charles Mackay	Existence
the great artisan... made man a creature of indeterminate nature, and, placing him inamidst the world, said to him   &quot;Adam, we give you no fixed place to live, no form forever peculiar to you, no function that is yours alone. According to your desires and judgment, you will have and possess whatever place to live, whatever form, and whatever functions you yourself choose. All other things have a limited and fixed nature prescribed and bounded by our laws. You, with no limit or no bound, may choose for yourself the limits and bounds of your nature. We have placed you at the world's center so that you may survey everything else in the world. We have made you neither of heavenly nor of earthly stuff, neither mortal nor immortal, so that with free choice and dignity, you may fashion yourself into whatever form you choose. To you is granted the power of degrading yourself into the lower forms of life, the beasts, and to you is granted the power, contained in your intellect and judgment, to be reborn into the higher forms, the divine.&quot;<br>... To us it was given to be whatever we choose to be, and so that is what we want.	Giovanni Pico della Mirandola	Existence
Before, the highest thing he could aspire to was dying gloriously for something; he now aspires higher, to live for something humble.	Otto Ludwig	Existence
Once we are destined to live out our lives in the prison of our mind, our one duty is to furnish it well.	Peter Ustinov	Existence
Solitude punctuates life, makes it a little more musical. It restores us to ourselves.	Dumitru Tsepeneag	Existence
The sun shines on the one who praises it.	Swahili proverb, or	Existence
Just slap anything on when you see a blank canvas staring you in the face like some imbecile... Life, too, is forever turning an infinitely vacant side towards man, on which nothing appears, no more than it does on a blank canvas. But no matter how vacant and vain, how dead life may appear to be, the man of faith, of energy, of warmth, who knows something, will not be put off so easily. He wades in and does something...	van Gogh	Existence
People do not need to be religious, but they must be philosophical. When you are philosophical, you have the best of religion.	Feng Youlan (馮友蘭)	Existence
There’s too much abstract willing, purposing,In this poor world. We talk by aggregatesAnd think by systems and being used to faceOur evils in statistics, are inclinedTo cap them with unreal remediesDrawn out in haste on the other side.	Elizabeth Barrett Browning	Existence
The case against intellect is founded upon a set of fictional antagonisms. Intellect is pitted against feeling... against character... against practicality... against democracy... [But] Intellect needs to be understood not as a claim against the other human excellences for which a fatally high price has to be paid, but rather as a complement to them without which they cannot be fully consummated.	Richard Hofstadter	Existence
Proceed til apprehended.	Proverbial	Existence
Ludibrium est nihil metuit.	Adam Ant	Existence
Some groups increase, others diminish, and in a short time the generations of living things pass, and like runners hand on the torch of life.	Titus Lucretius Carus	Existence
Be regular and orderly in your life, that you may be violent and original in your work.	Gustave Flaubert	Existence
m = pV / iD. 		Existence
We are on this earth to fart around. Don't let anyone tell you otherwise.	Vonnegut. Or perhaps:	Existence
I don't know why we are here, but I'm quite sure that it is not in order to enjoy ourselves.	spuriously attrb. Wittgenstein	Existence
'And did you get what // you wanted from this life, even so?&quot;<br>  &quot;I did.&quot;<br><br> &quot;And what did you want?'&quot;<br><br>&quot;To call myself beloved, to feel myself / beloved on the earth.&quot;	Raymond Carver	Existence
Surroundings form his mind, as food forms his body.	Mengzi	Existence
I live sweat, but I dream light–years.	Mike Watt	Existence
If they think you're crude, go technical; if they think you're technical, go crude... These days, though, you have to be pretty technical before you can even aspire to crudeness.	William Gibson	Existence
Everyone believes that tomorrow they'll truly start living.		Existence
In the long run we are always in the short run.	Abba Lerner	Existence
[we] never become anything without pretending to be it first.	after Auden	Existence
In aesthetics the present is the only tense there is.	Clive James	Existence
People say &quot;one day I will be good at X'. They don't realise that there is no way to &quot;be &quot; anything: there are no plateaus to rest on. Instead, skill consists in doing. It's not like an RPG, where you level up and that's you on a higher level for good. Nor is it like riding a bicycle, an innate matter of balance that can be permanently wired into you. Instead, all you can hope for is to continually focus on supplying quality X.   &quot;One day I will be good.&quot; they say. I'm like &quot;No; why are you coding that class badly?&quot; They don't want to do any given thing better: that is boring and progress is imperceptible. Instead, they hope they will be able to do that automatically one day, when they are &quot;better at it'.<br>It will never suddenly become effortless, not at any damn point.	John Morrice	Existence
Aude. Vide. Tace.	the Masons	Existence
If you can't say anything good don't say anything.	Salvator Rosa	Existence
All is vanity.	Ecc 1:2	Existence
The effort to understand the world is one of the few things that lifts human life a little above the level of farce and gives it some of the grace of tragedy.	Steven Weinberg	Existence
People suffer their failure to optimise the first–order problem (of allocating a tight budget of existence) and the second–order problem (of allocating attention to the first–order problem). 	John Quiggin	Existence
You have a real life if and only if you do not compete with anyone in any of your pursuits.	Nassim Taleb	Existence
No book's so bad as to have no good in it.	Pliny the Younger	Existence
The point of reading a great many books is to become aware of a great number of alternative purposes; the point of that is to become an autonomous self.	Rorty	Existence
[Lord], make me chaste – but not yet.	Augustine of Hippo	Existence
A man who sets out to justify his existence and his activities has to distinguish two different questions. The first is whether the work which he does is worth doing; and the second is why he does it... The first question is often very difficult, and the answer very discouraging... It is a tiny minority who can do something really well, and the number of men who can do two things well is negligible. If a man has any genuine talent he should be ready to make almost any sacrifice in order to cultivate it to the full.	GH Hardy	Existence
there's nothing problematic about going out to shop for some soap or a car and purchasing the best that happens to be available... But some things, like the person you're going to spend the rest of your life with, or the work you'll spend it doing, don't seem like this. We want to believe in having a calling and a soulmate.<br> ...here, in the gap between what we think we want and what we think we can get, the phenomenon occurs. It goes by many names: evil; marketing, sales, recruitment, courtship... Whatever one calls it, it would be advisable to think at least twice before concluding that one is better off ignoring it, the whole impetuous fearful flurry of flowing down gradients: to wonder, to inquire, to guess, to experiment, to tell and to listen... To offer, and reject, and reject, and reject; to seek, and be rejected, and rejected, and rejected.<br><br>...who among us can be said to have lived the most plausible facsimile of the chimerical &quot;good life'? ...lovers cradling one another on the beach, murmuring the three words that are the highest expression of what they mean to each other:&quot;Markets in everything.&quot;	Zack Davis	Existence
There are always some human beings who live to be a hundred. More do so today than ever before, but there have always been some... It comes as a shock to realise that the whole of civilisation has occurred within the successive lifetimes of sixty people&#;which is the number of friends I squeeze into my living room when I have a drinks party. Twenty people take us back to Jesus, twenty-one to Julius Caesar.	Bryan Magee	Existence
I have striven not to laugh at human actions, not to weep at them, nor to hate them, but to understand them.	Benedict Spinoza	Existence
Assume breach. 		Existence
Dear Posterity,<br> If you have not become more just, more peaceful, and generally more rational than we are - why then, the Devil take you.	Albert Einstein	Existence
There are surely worse things than being wrong, and being dull and pedantic are surely among them.	Mark Kac	Existence
How odd I can have all this inside me and to you it's just words.	David Foster Wallace<br>	Existence
I can't go on. I'll go on.	Beckett	Existence
Beauty is hard.	Plato	Existence
Always leave them wanting more.	attrb. Theolonius Monk, attrb. Aristotle	Existence
If people do not believe that mathematics is simple, it is only because they do not realize how complicated life is.  	John von Neumann	Maths
Don't just read it, fight it! ... Jump ahead, try the next problem, turn the page, go to the next chapter, or even abandon the book and start another one. Books may be linearly ordered, but our minds are not. 	Paul Halmos	Maths
If, stranger, you're able to find out these things and gather them in your mind, giving all their relations, then you'll be crowned with glory and know you are perfect in this species of wisdom. 	Archimedes	Maths
When you have mastered numbers, you will in fact no longer be reading numbers, any more than you read words when reading books. You will be reading meanings. 	Harold Geneen	Maths
It was pretty far into my mathematics education that I realised: one of the reasons mathematics always seems to have all the answers was that the teachers were the ones choosing the questions. 	Ben Millwood	Maths
'When am I going to use this?'... [but] mathematics is not just a sequence of computations to be carried out until your stamina runs out... Those are to mathematics as weight training and calisthenics are to soccer... you won’t see anybody on the field curling a weight or zigzagging between traffic cones. But you do see players using the strength, speed, insight, and flexibility they built up by doing those drills, week after tedious week... 	Jordan Ellenberg	Maths
道生一;一生二; 二生三; 三生萬物.  	Laozi	Maths
even then you will have need of the all-encompassing heavens, with their bright, malicious spirituality, to allow you to survey this swarm of dangerous and painful experiences, order them, and force them into formulae.  	Nietzsche	Maths
Physics is the science of determining which subset of mathematics the universe respects. 	John Schilling	Maths
Abstractness, sometimes hurled as a reproach at mathematics, is its chief glory and its surest title to practical usefulness. It is also the source of such beauty as may spring from mathematics. 	Eric Temple Bell	Maths
you learn algebra in calculus, calculus in differential equations, differential equations in mechanics... 	Proverb	Maths
The shortest path between two truths in the real domain passes through the complex domain. 	Jacques Hadamard	Maths
...mathematics is distinguished from all other sciences except only ethics, in standing in no need of ethics. Every other science, even logic, especially in its early stages in danger of evaporating into airy nothingness... spun from the stuff that dreams are made of. There is no such danger for pure mathematics; for that is precisely what mathematics ought to be. 	Charles Peirce	Maths
Mathematics is purely hypothetical: it produces nothing but conditional propositions. 	Charles Peirce	Maths
The study of mathematics is apt to commence in disappointment....We are told that by its aid the stars are weighed and the billions of molecules in a drop of water are counted. Yet, like the ghost of Hamlet's father, this greatest science eludes the efforts of our mental weapons to grasp it. 	Alfred North Whitehead	Maths
